,release_date,runtime,return_on_investment,genres_popularity_score,genres_vote_score,keywords_popularity_score,keywords_vote_score,casts_popularity_score,casts_vote_score,directors_popularity_score,directors_vote_score
52,1995-07-21,113.0,-0.78711375,7.843141124729041,6.301381509579843,8.5112137908,6.46122,4.630112750277776,6.307055555555556,9.1565124,6.540000000000001
54,1995-04-13,139.0,0.12846110714285713,9.843968609843943,6.123769507803122,9.881670246307388,6.559520958083832,11.49060165861134,6.514960259782207,10.137596,5.725
56,1995-09-15,83.0,-0.3625,7.981544498340715,6.075331858407092,9.661716086363636,6.8100585399449045,9.802474366004946,6.5290311876486555,7.619682,6.65
58,1995-05-26,100.0,4.75856388,9.282563370626987,6.05652837844621,11.43041298937628,6.222947811728647,11.151483165266615,6.129592747234734,11.1151344,6.2
59,1995-09-15,128.0,-0.47713928,9.358531979445452,6.4101103670059345,7.458001939829192,6.476863354037265,6.829913195183351,6.71250927300837,8.480720384615385,6.553846153846154
60,1995-06-09,109.0,2.04044202,9.74577584560344,6.192748807014784,10.1667698125,6.366666666666667,8.948690811553723,5.866314756671899,8.8045425,6.1499999999999995
61,1995-05-12,116.0,1.9695697169811321,9.361119859870922,6.237147438006112,9.468816893653896,6.58294690570246,8.698313813042324,6.391527418134746,12.504401428571427,6.521428571428571
62,1995-08-25,104.0,2.6293492857142855,9.865984966840301,6.19465814114255,10.344088773042435,6.51111547726947,9.593338145543129,6.465741189832754,10.027883749999999,5.85625
63,1995-09-15,102.0,-0.40219177777777776,9.456052539606711,6.3322573268244815,9.563093164843776,6.627724160888353,8.478832400932603,6.37265438119193,7.918675,6.166666666666667
65,1995-07-07,134.0,1.3200079090909091,8.816281580011548,6.249341863552295,12.836923373076923,6.525769230769231,12.227460114583332,6.25975378787879,11.63576425,6.5
66,1995-09-14,107.0,-0.6218136,9.449854193113351,6.274454111991882,11.525576977646626,6.214360915027582,11.543737023306694,6.222071728271728,12.9323885,6.425000000000001
67,1995-05-26,97.0,-0.2369712,9.663315640011486,6.165275579911995,11.972383336408729,5.988382936507937,12.028262894591743,5.657714351668645,11.715867999999999,5.5
68,1995-06-30,96.0,0.2610386777777778,10.389250010600717,5.991166077738519,11.063828903681918,6.004358232181763,9.735451004111924,6.079492123474777,9.663872999999999,5.7
69,1995-07-28,91.0,3.9414773333333333,8.95875953238657,6.450108079244537,10.360529671428573,6.93,5.955676400681815,6.717374999999998,8.7541455,6.25
70,1995-01-20,89.0,1.297504,8.091503185136608,6.2945869414734865,7.32815755844156,6.469283746556475,10.037609569981832,6.547355966526699,10.058328999999999,7.2
71,1995-10-20,94.0,-0.6462398333333333,7.66398075112731,6.195151252099825,9.05947219962669,6.465022346074977,9.620455769712557,6.405793364129278,9.032378,6.29090909090909
72,1995-06-30,92.0,3.4,9.994528613668148,6.0507948277093595,9.184073827743903,5.513922764227643,7.730062041666666,5.284027777777779,7.718215000000001,5.4
